timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1717855887673,3076,HTTP Request,200,OK,conf 1 1-2,text,true,,231,157,500,1500,http://localhost:8080/?token=492522129&user=-2105924666&conf=1,3076,0,1
1717855887689,3060,HTTP Request,200,OK,conf 1 1-6,text,true,,231,157,500,1500,http://localhost:8080/?token=492522129&user=-2105924666&conf=1,3060,0,0
1717855887697,3052,HTTP Request,200,OK,conf 1 1-8,text,true,,231,157,500,1500,http://localhost:8080/?token=492522129&user=-2105924666&conf=1,3052,0,1
1717855887685,3064,HTTP Request,200,OK,conf 1 1-5,text,true,,231,157,500,1500,http://localhost:8080/?token=492522129&user=-2105924666&conf=1,3064,0,0
1717855887701,3048,HTTP Request,200,OK,conf 1 1-9,text,true,,231,157,500,1500,http://localhost:8080/?token=492522129&user=-2105924666&conf=1,3048,0,1
1717855887677,3072,HTTP Request,200,OK,conf 1 1-3,text,true,,231,157,500,1500,http://localhost:8080/?token=492522129&user=-2105924666&conf=1,3072,0,1
1717855887669,3080,HTTP Request,200,OK,conf 1 1-1,text,true,,231,157,500,1500,http://localhost:8080/?token=492522129&user=-2105924666&conf=1,3080,0,1
1717855887693,3056,HTTP Request,200,OK,conf 1 1-7,text,true,,231,157,500,1500,http://localhost:8080/?token=492522129&user=-2105924666&conf=1,3056,0,1
1717855887682,3067,HTTP Request,200,OK,conf 1 1-4,text,true,,231,157,500,1500,http://localhost:8080/?token=492522129&user=-2105924666&conf=1,3067,0,0
1717855887717,3045,HTTP Request,200,OK,conf 1 1-13,text,true,,231,157,491,1491,http://localhost:8080/?token=492522129&user=-2105924666&conf=1,3045,0,1
1717855887713,3049,HTTP Request,200,OK,conf 1 1-12,text,true,,231,157,491,1491,http://localhost:8080/?token=492522129&user=-2105924666&conf=1,3049,0,1
1717855887705,3057,HTTP Request,200,OK,conf 1 1-10,text,true,,231,157,491,1491,http://localhost:8080/?token=492522129&user=-2105924666&conf=1,3057,0,1
1717855887710,3052,HTTP Request,200,OK,conf 1 1-11,text,true,,231,157,491,1491,http://localhost:8080/?token=492522129&user=-2105924666&conf=1,3052,0,0
1717855887733,3029,HTTP Request,200,OK,conf 1 1-17,text,true,,231,157,491,1491,http://localhost:8080/?token=492522129&user=-2105924666&conf=1,3029,0,0
1717855887723,3039,HTTP Request,200,OK,conf 2 2-1,text,true,,231,157,500,1491,http://localhost:8080/?token=492522129&user=-2105924666&conf=2,3039,0,0
1717855887721,3041,HTTP Request,200,OK,conf 1 1-14,text,true,,231,157,491,1491,http://localhost:8080/?token=492522129&user=-2105924666&conf=1,3041,0,0
1717855887739,3023,HTTP Request,200,OK,conf 2 2-5,text,true,,231,157,500,1491,http://localhost:8080/?token=492522129&user=-2105924666&conf=2,3023,0,1
1717855887729,3033,HTTP Request,200,OK,conf 2 2-2,text,true,,231,157,500,1491,http://localhost:8080/?token=492522129&user=-2105924666&conf=2,3033,0,0
1717855887729,3033,HTTP Request,200,OK,conf 1 1-16,text,true,,231,157,491,1491,http://localhost:8080/?token=492522129&user=-2105924666&conf=1,3033,0,0
1717855887745,3017,HTTP Request,200,OK,conf 1 1-20,text,true,,231,157,491,1491,http://localhost:8080/?token=492522129&user=-2105924666&conf=1,3017,0,1
